id	cog	cog_name	ko	ko_name	pfams	pfam_names
OG0001065	COG4638	Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit	K00499	choline monooxygenase [EC:1.14.15.7]	PF00848.22,PF00355.29	Ring_hydroxyl_A,Rieske
OG0001066	NA	No Annotation	NA	No Annotation	PF15890.8	Peptidase_Mx1
OG0001067	NA	No Annotation	K15737	glutarate dioxygenase [EC:1.14.11.64]	PF08943.13	CsiD
OG0001068	NA	No Annotation	NA	No Annotation	NA	NA
OG0001069	COG0174	Glutamine synthetase	K01915	glutamine synthetase [EC:6.3.1.2]	PF00120.27	Gln-synt_C
OG0001070	COG1279	Arginine exporter protein ArgO	K06895	L-lysine exporter family protein LysE/ArgO	PF01810.21	LysE
OG0001071	COG2218	Formylmethanofuran dehydrogenase subunit C	K22082	methylamine---glutamate N-methyltransferase subunit B [EC:2.1.1.21]	PF01493.22	GXGXG
OG0001072	COG2076	Multidrug transporter EmrE and related cation transporters	K03297	small multidrug resistance pump	PF00893.22	Multi_Drug_Res
OG0001073	COG1940	Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain	NA	No Annotation	PF00480.23	ROK
OG0001074	COG4642	Uncharacterized conserved protein, contains MORN repeats	NA	No Annotation	PF02493.23	MORN
OG0001075	COG2208	Phosphoserine phosphatase RsbU, regulator of sigma subunit	K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	PF07228.15,PF05226.14,PF13185.9,PF00072.27,PF00909.24,PF01590.29	SpoIIE,CHASE2,GAF_2,Response_reg,Ammonium_transp,GAF
OG0001076	COG2249	Putative NADPH-quinone reductase (modulator of drug activity B)	K00355	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	PF02525.20	Flavodoxin_2
OG0001077	COG0451	Nucleoside-diphosphate-sugar epimerase	K15894	UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase [EC:4.2.1.115 5.1.3.-]	PF02719.18,PF08485.13,PF17836.4,PF01370.24,PF13727.9,PF02629.22,PF01408.25	Polysacc_synt_2,Polysacc_syn_2C,PglD_N,Epimerase,CoA_binding_3,CoA_binding,GFO_IDH_MocA
OG0001078	COG0828	Ribosomal protein S21	K02970	small subunit ribosomal protein S21	PF01165.23	Ribosomal_S21
OG0001079	COG0397	Protein adenylyltransferase (AMPylase) SelO/YdiU (selenoprotein O)	K08997	protein adenylyltransferase [EC:2.7.7.108]	PF02696.17	SelO
OG0001080	NA	No Annotation	NA	No Annotation	NA	NA
OG0001081	COG2755	Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK	K10804	acyl-CoA thioesterase I [EC:3.1.2.- 3.1.2.2 3.1.1.2 3.1.1.5]	PF13472.9	Lipase_GDSL_2
OG0001082	COG1182	FMN-dependent NADH-azoreductase	K01118	FMN-dependent NADH-azoreductase [EC:1.7.1.17]	PF02525.20	Flavodoxin_2
OG0001083	COG2352	Phosphoenolpyruvate carboxylase	K01595	phosphoenolpyruvate carboxylase [EC:4.1.1.31]	PF00311.20	PEPcase
OG0001084	NA	No Annotation	NA	No Annotation	NA	NA
OG0001085	COG1175	ABC-type sugar transport system, permease component	NA	No Annotation	PF00528.25	BPD_transp_1
OG0001086	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase RhmA	K02510	4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]	PF03328.17	HpcH_HpaI
OG0001087	COG2072	Predicted flavoprotein CzcO associated with the cation diffusion facilitator CzcD	K18277	trimethylamine monooxygenase [EC:1.14.13.148]	PF00743.22	FMO-like
OG0001088	COG3113	MlaB (STAS domain) subunit of the ABC-type intermembrane phospholipid transporter Mla	NA	No Annotation	PF01740.24,PF13466.9	STAS,STAS_2
OG0001089	COG3181	Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC	K07795	putative tricarboxylic transport membrane protein	PF03401.17	TctC
OG0001090	COG0457	Tetratricopeptide (TPR) repeat	NA	No Annotation	PF13181.9,PF13469.9,PF00515.31,PF13414.9,PF13424.9,PF14559.9,PF07719.20,PF13374.9,PF13431.9,PF13174.9,PF13432.9,PF13176.9,PF00685.30,PF13429.9,PF04733.17	TPR_8,Sulfotransfer_3,TPR_1,TPR_11,TPR_12,TPR_19,TPR_2,TPR_10,TPR_17,TPR_6,TPR_16,TPR_7,Sulfotransfer_1,TPR_15,Coatomer_E
OG0001091	COG2135	ssDNA abasic site-binding protein YedK/HMCES, SRAP family	NA	No Annotation	PF02586.17	SRAP
OG0001092	COG0365	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	K01907	acetoacetyl-CoA synthetase [EC:6.2.1.16]	PF00501.31,PF13193.9,PF16177.8	AMP-binding,AMP-binding_C,ACAS_N
OG0001093	COG3038	Cytochrome b561	K12262	superoxide oxidase [EC:1.10.3.17]	PF01292.23	Ni_hydr_CYTB
OG0001094	COG3909	Cytochrome c556	NA	No Annotation	PF01322.23	Cytochrom_C_2
OG0001095	COG0554	Glycerol kinase	K00864	glycerol kinase [EC:2.7.1.30]	PF02782.19,PF00370.24	FGGY_C,FGGY_N
OG0001096	COG3127	Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component	K02004	putative ABC transport system permease protein	PF02687.24,PF12704.10	FtsX,MacB_PCD
OG0001097	NA	No Annotation	NA	No Annotation	NA	NA
OG0001098	COG0601	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	K02033	peptide/nickel transport system permease protein	PF00528.25,PF19300.2	BPD_transp_1,BPD_transp_1_N
OG0001099	NA	No Annotation	NA	No Annotation	PF00535.29	Glycos_transf_2
OG0001100	NA	No Annotation	NA	No Annotation	NA	NA
OG0001101	COG0697	Amino acid export permease, drug/metabolite transporter (DMT) superfamily	K15270	S-adenosylmethionine uptake transporter	PF00892.23	EamA
OG0001102	COG0010	Arginase/agmatinase family enzyme	K01480	agmatinase [EC:3.5.3.11]	PF00491.24	Arginase
OG0001103	COG4976	Predicted methyltransferase, contains TPR repeat	NA	No Annotation	PF08241.15,PF13649.9,PF13847.9,PF13489.9	Methyltransf_11,Methyltransf_25,Methyltransf_31,Methyltransf_23
OG0001104	NA	No Annotation	NA	No Annotation	NA	NA
OG0001105	COG3180	Uncharacterized membrane protein AbrB, regulator of aidB expression	K07120	uncharacterized protein	PF05145.15	AbrB
OG0001106	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase or related enzyme	NA	No Annotation	PF00908.20,PF02779.27	dTDP_sugar_isom,Transket_pyr
OG0001107	COG3971	2-keto-4-pentenoate hydratase	NA	No Annotation	NA	NA
OG0001108	COG3565	Predicted dioxygenase of extradiol dioxygenase family	K06991	uncharacterized protein	PF00903.28	Glyoxalase
OG0001109	COG0690	Preprotein translocase subunit SecE	K03073	preprotein translocase subunit SecE	PF00584.23	SecE
OG0001110	COG0518	GMP synthase, glutamine amidotransferase domain/subunit	NA	No Annotation	PF00117.31	GATase
OG0001111	COG3962	TPP-dependent trihydroxycyclohexane-1,2-dione (THcHDO) dehydratase, myo-inositol metabolism	K03336	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22]	PF02775.24,PF00205.25,PF02776.21	TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N
OG0001112	COG0500	SAM-dependent methyltransferase SmtA (CmoB moved to COG2228)	NA	No Annotation	PF13847.9,PF13489.9,PF08241.15,PF13649.9,PF07021.15,PF01209.21,PF01739.21,PF08242.15	Methyltransf_31,Methyltransf_23,Methyltransf_11,Methyltransf_25,MetW,Ubie_methyltran,CheR,Methyltransf_12
OG0001113	NA	No Annotation	K07794	putative tricarboxylic transport membrane protein	PF07331.14	TctB
OG0001114	NA	No Annotation	NA	No Annotation	PF19528.2	DUF6056
OG0001115	NA	No Annotation	NA	No Annotation	PF11391.11	DUF2798
OG0001116	NA	No Annotation	NA	No Annotation	NA	NA
OG0001117	NA	No Annotation	NA	No Annotation	NA	NA
OG0001118	COG0346	Glyoxalase, catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family	K01759	lactoylglutathione lyase [EC:4.4.1.5]	PF00903.28	Glyoxalase
OG0001119	COG0376	Catalase (peroxidase I)	K03782	catalase-peroxidase [EC:1.11.1.21]	PF00141.26	peroxidase
OG0001120	COG2358	TRAP-type uncharacterized transport system, periplasmic component	K07080	uncharacterized protein	PF16868.8	NMT1_3
OG0001121	NA	No Annotation	NA	No Annotation	PF03889.16	ArfA
OG0001122	COG0257	Ribosomal protein L36	K02919	large subunit ribosomal protein L36	PF00444.21	Ribosomal_L36
OG0001123	COG4666	TRAP-type uncharacterized transport system, fused permease components	NA	No Annotation	PF06808.15,PF11874.11	DctM,DUF3394
OG0001124	COG1082	Sugar phosphate isomerase/epimerase	K03335	inosose dehydratase [EC:4.2.1.44]	PF01261.27	AP_endonuc_2
OG0001125	COG0451	Nucleoside-diphosphate-sugar epimerase	NA	No Annotation	PF01370.24	Epimerase
OG0001126	NA	No Annotation	NA	No Annotation	NA	NA
OG0001127	COG2308	Circularly permuted ATP-grasp protein	NA	No Annotation	PF14403.9	CP_ATPgrasp_2
OG0001128	COG1091	dTDP-4-dehydrorhamnose reductase	NA	No Annotation	PF04321.20,PF01370.24,PF16363.8,PF01041.20	RmlD_sub_bind,Epimerase,GDP_Man_Dehyd,DegT_DnrJ_EryC1
OG0001129	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	K00138	aldehyde dehydrogenase [EC:1.2.1.-]	PF00171.25	Aldedh
OG0001130	COG1861	Spore coat polysaccharide biosynthesis protein SpsF, cytidylyltransferase family	K07257	spore coat polysaccharide biosynthesis protein SpsF	PF02348.22,PF00202.24,PF00248.24,PF03102.17,PF13302.10	CTP_transf_3,Aminotran_3,Aldo_ket_red,NeuB,Acetyltransf_3
OG0001131	COG1052	Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase	K00122	formate dehydrogenase [EC:1.17.1.9]	PF02826.22,PF00389.33	2-Hacid_dh_C,2-Hacid_dh
OG0001132	COG3181	Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC	K07795	putative tricarboxylic transport membrane protein	PF03401.17	TctC
OG0001133	COG0855	Polyphosphate kinase	K00937	polyphosphate kinase [EC:2.7.4.1]	PF13090.9,PF02503.20,PF17941.4,PF13089.9	PP_kinase_C,PP_kinase,PP_kinase_C_1,PP_kinase_N
OG0001134	COG5285	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family	NA	No Annotation	PF05721.16	PhyH
OG0001135	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component	K21395	TRAP-type transport system periplasmic protein	PF03480.16,PF00171.25	DctP,Aldedh
OG0001136	COG0248	Exopolyphosphatase/pppGpp-phosphohydrolase	K01524	exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]	PF02541.19	Ppx-GppA
OG0001137	COG4665	TRAP-type mannitol/chloroaromatic compound transport system, small permease component	K21394	TRAP-type transport system small permease protein	PF04290.15	DctQ
OG0001138	COG2062	Phosphohistidine phosphatase SixA	K08296	phosphohistidine phosphatase [EC:3.1.3.-]	PF00300.25	His_Phos_1
OG0001139	COG2908	UDP-2,3-diacylglucosamine pyrophosphatase LpxH	K03269	UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]	PF00149.31,PF12850.10	Metallophos,Metallophos_2
OG0001140	NA	No Annotation	NA	No Annotation	NA	NA
OG0001141	COG2113	ABC-type proline/glycine betaine transport system, periplasmic component	K02002	glycine betaine/proline transport system substrate-binding protein	PF04069.15	OpuAC
OG0001142	COG2855	Uncharacterized membrane protein YeiH, induced by redox stress, UPF0324 family	NA	No Annotation	PF03601.17	Cons_hypoth698
OG0001143	NA	No Annotation	NA	No Annotation	PF03092.19	BT1
OG0001144	COG3839	ABC-type sugar transport system, ATPase component MalK	K17324	glycerol transport system ATP-binding protein	PF00005.30	ABC_tran
OG0001145	COG0346	Glyoxalase, catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family	NA	No Annotation	PF00903.28	Glyoxalase
OG0001146	COG1459	Type II secretion system/type IV pilus membrane platform protein GspF/PulF/PilC	NA	No Annotation	PF00482.26	T2SSF
OG0001147	COG2814	Predicted arabinose efflux permease AraJ, MFS family	NA	No Annotation	PF07690.19	MFS_1
OG0001148	COG3839	ABC-type sugar transport system, ATPase component MalK	K17325	glycerol transport system ATP-binding protein	PF00005.30,PF17912.4	ABC_tran,OB_MalK
OG0001149	COG2301	Citrate lyase beta subunit	K08691	malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]	PF03328.17,PF01575.22,PF15617.9	HpcH_HpaI,MaoC_dehydratas,C-C_Bond_Lyase
OG0001150	COG2896	GTP 3',8-cyclase (molybdenum cofactor biosynthesis protein MoaA)	K03639	GTP 3',8-cyclase [EC:4.1.99.22]	PF04055.24,PF13353.9,PF06463.16,PF13394.9,PF13186.9,PF10111.12	Radical_SAM,Fer4_12,Mob_synth_C,Fer4_14,SPASM,Glyco_tranf_2_2
OG0001151	NA	No Annotation	K07794	putative tricarboxylic transport membrane protein	PF07331.14	TctB
OG0001152	NA	No Annotation	NA	No Annotation	NA	NA
OG0001153	COG3564	Uncharacterized conserved protein, DUF779 family	K09959	uncharacterized protein	PF05610.14	DUF779
OG0001154	COG2805	Type IV pilus retraction ATPase PilT/PilU	K02669	twitching motility protein PilT	PF00437.23	T2SSE
OG0001155	COG2804	Type II secretion system/type IV pilus assembly ATPase GspE/PulE/PilB	NA	No Annotation	PF00437.23,PF05157.18	T2SSE,T2SSE_N
OG0001156	COG2141	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)	NA	No Annotation	PF00296.23	Bac_luciferase
OG0001157	NA	No Annotation	NA	No Annotation	PF06684.14	AA_synth
OG0001158	COG3484	Predicted proteasome-type protease	K07395	putative proteasome-type protease	PF00227.29	Proteasome
OG0001159	NA	No Annotation	NA	No Annotation	NA	NA
OG0001160	COG4122	tRNA 5-hydroxyU34 O-methylase TrmR/YrrM	NA	No Annotation	PF13578.9,PF00398.23	Methyltransf_24,RrnaAD
OG0001161	COG4796	Type II secretion system/DNA uptake membrane channel ComE/HofQ	NA	No Annotation	PF00263.24,PF03958.20,PF07660.17	Secretin,Secretin_N,STN
OG0001162	NA	No Annotation	NA	No Annotation	NA	NA
OG0001163	COG0646	Methionine synthase I (cobalamin-dependent), methyltransferase domain	K00544	betaine-homocysteine S-methyltransferase [EC:2.1.1.5]	PF02574.19	S-methyl_trans
OG0001164	COG4972	Type II secretion system/type IV pilus alignment protein GspL/PulL/PilM	K02662	type IV pilus assembly protein PilM	PF11104.11,PF05137.16	PilM_2,PilN
OG0001165	COG1357	Type IVB secretion/DNA transfer system protein DotG/IcmE, contains pentapeptide repeats	NA	No Annotation	PF00805.25,PF13599.9	Pentapeptide,Pentapeptide_4
OG0001166	COG2271	Sugar phosphate permease	NA	No Annotation	PF07690.19,PF02554.17	MFS_1,CstA
OG0001167	NA	No Annotation	NA	No Annotation	NA	NA
OG0001168	COG0702	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains	K17290	oxidoreductase [EC:1.1.1.-]	PF13460.9,PF01370.24	NAD_binding_10,Epimerase
OG0001169	COG3205	Uncharacterized membrane protein, DUF2061 family	NA	No Annotation	PF09834.12	DUF2061
OG0001170	COG1989	Type II secretion system/type IV prepilin peptidase GspO/PulO/PilD	K02654	leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]	PF01478.21,PF06750.16	Peptidase_A24,DiS_P_DiS
OG0001171	NA	No Annotation	NA	No Annotation	NA	NA
OG0001172	COG0279	Phosphoheptose isomerase	K03271	D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]	PF13580.9,PF01380.25	SIS_2,SIS
OG0001173	COG1653	ABC-type glycerol-3-phosphate transport system, periplasmic component	NA	No Annotation	PF13416.9,PF01547.28	SBP_bac_8,SBP_bac_1
OG0001174	NA	No Annotation	NA	No Annotation	PF13517.9,PF07593.15	FG-GAP_3,UnbV_ASPIC
OG0001175	NA	No Annotation	NA	No Annotation	NA	NA
OG0001176	NA	No Annotation	NA	No Annotation	NA	NA
OG0001177	COG1175	ABC-type sugar transport system, permease component	NA	No Annotation	PF00528.25	BPD_transp_1
OG0001178	COG2172	Anti-sigma regulatory factor (Ser/Thr protein kinase)	K04757	serine/threonine-protein kinase RsbW [EC:2.7.11.1]	PF13581.9	HATPase_c_2
OG0001179	NA	No Annotation	NA	No Annotation	PF10277.12	Frag1
OG0001180	COG1597	Phosphatidylglycerol kinase, diacylglycerol kinase family	NA	No Annotation	PF00781.27,PF19279.2	DAGK_cat,YegS_C
OG0001181	COG0436	Aspartate/methionine/tyrosine aminotransferase	NA	No Annotation	PF00155.24	Aminotran_1_2
OG0001182	NA	No Annotation	NA	No Annotation	PF07835.15	COX4_pro_2
OG0001183	COG0494	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	NA	No Annotation	PF00293.31,PF13090.9	NUDIX,PP_kinase_C
OG0001184	COG1592	Rubrerythrin	NA	No Annotation	PF02915.20	Rubrerythrin
OG0001185	COG0395	ABC-type glycerol-3-phosphate transport system, permease component	NA	No Annotation	PF00528.25	BPD_transp_1
OG0001186	NA	No Annotation	NA	No Annotation	PF12007.11	DUF3501
OG0001187	NA	No Annotation	NA	No Annotation	NA	NA
OG0001188	COG3914	Predicted O-linked N-acetylglucosamine transferase, SPINDLY family	K09667	protein O-GlcNAc transferase [EC:2.4.1.255]	PF13844.9,PF13181.9,PF13414.9,PF00515.31,PF13432.9,PF07719.20,PF13424.9,PF14559.9,PF12895.10,PF13431.9,PF07720.15	Glyco_transf_41,TPR_8,TPR_11,TPR_1,TPR_16,TPR_2,TPR_12,TPR_19,ANAPC3,TPR_17,TPR_3
OG0001189	COG0247	Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF	K00113	glycerol-3-phosphate dehydrogenase subunit C	PF02754.19	CCG
OG0001190	COG1064	D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family	K18382	NAD+-dependent secondary alcohol dehydrogenase Adh1 [EC:1.1.1.-]	PF08240.15,PF00107.29,PF01488.23	ADH_N,ADH_zinc_N,Shikimate_DH
OG0001191	COG1666	Cyclic di-GMP-binding protein YajQ, UPF0234 family	K09767	cyclic-di-GMP-binding protein	PF04461.16	DUF520
OG0001192	NA	No Annotation	NA	No Annotation	PF20393.1,PF00484.22	Pro_CA_2,Pro_CA
OG0001193	COG0235	5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation)	NA	No Annotation	PF00596.24	Aldolase_II
OG0001194	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	K01713	cyclohexadienyl dehydratase [EC:4.2.1.51 4.2.1.91]	PF00497.23	SBP_bac_3
OG0001195	COG0665	Glycine/D-amino acid oxidase (deaminating)	NA	No Annotation	PF01266.27	DAO
OG0001196	COG0367	Asparagine synthetase B (glutamine-hydrolyzing)	K01953	asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	PF00733.24,PF13537.9,PF13522.9	Asn_synthase,GATase_7,GATase_6
OG0001197	COG3090	TRAP-type C4-dicarboxylate transport system, small permease component YiaM	NA	No Annotation	PF04290.15	DctQ
OG0001198	NA	No Annotation	NA	No Annotation	NA	NA
OG0001199	NA	No Annotation	NA	No Annotation	NA	NA
OG0001200	COG0521	Molybdopterin adenylyltransferase MoaB/MogA	K03638	molybdopterin adenylyltransferase [EC:2.7.7.75]	PF00994.27	MoCF_biosynth
OG0001201	NA	No Annotation	NA	No Annotation	NA	NA
OG0001202	NA	No Annotation	NA	No Annotation	NA	NA
OG0001203	COG0314	Molybdopterin synthase catalytic subunit MoaE	K03635	molybdopterin synthase catalytic subunit [EC:2.8.1.12]	PF02391.20	MoaE
OG0001204	COG0524	Sugar or nucleoside kinase, ribokinase family	K00852	ribokinase [EC:2.7.1.15]	PF00294.27	PfkB
OG0001205	NA	No Annotation	NA	No Annotation	PF13578.9,PF13847.9,PF01728.22,PF01596.20,PF04989.15,PF08241.15	Methyltransf_24,Methyltransf_31,FtsJ,Methyltransf_3,CmcI,Methyltransf_11
OG0001206	COG3492	Uncharacterized conserved protein, DUF1244 family	K09948	uncharacterized protein	PF06844.14	DUF1244
OG0001207	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component	K21395	TRAP-type transport system periplasmic protein	PF03480.16	DctP
OG0001208	COG5285	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family	K00477	phytanoyl-CoA hydroxylase [EC:1.14.11.18]	PF05721.16	PhyH
OG0001209	COG1995	4-hydroxy-L-threonine phosphate dehydrogenase PdxA	NA	No Annotation	PF04166.15	PdxA
OG0001210	COG0730	Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family	K07090	uncharacterized protein	PF01925.22	TauE
OG0001211	COG0303	Molybdopterin Mo-transferase (molybdopterin biosynthesis)	K03750	molybdopterin molybdotransferase [EC:2.10.1.1]	PF00994.27,PF03453.20,PF03454.18,PF02634.18	MoCF_biosynth,MoeA_N,MoeA_C,FdhD-NarQ
OG0001212	COG1977	Molybdopterin synthase sulfur carrier subunit MoaD	NA	No Annotation	PF02597.23	ThiS
OG0001213	COG0315	Molybdenum cofactor biosynthesis enzyme MoaC	K03637	cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]	PF01967.24	MoaC
OG0001214	COG1879	ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain	K02058	simple sugar transport system substrate-binding protein	PF13407.9	Peripla_BP_4
OG0001215	NA	No Annotation	NA	No Annotation	PF04832.15	SOUL
OG0001216	COG1506	Dipeptidyl aminopeptidase/acylaminoacyl peptidase	NA	No Annotation	PF02230.19,PF12146.11,PF00326.24,PF01738.21	Abhydrolase_2,Hydrolase_4,Peptidase_S9,DLH
OG0001217	COG4122	tRNA 5-hydroxyU34 O-methylase TrmR/YrrM	NA	No Annotation	PF13578.9	Methyltransf_24
OG0001218	NA	No Annotation	NA	No Annotation	PF19588.2	SxtJ
OG0001219	NA	No Annotation	NA	No Annotation	NA	NA
OG0001220	NA	No Annotation	NA	No Annotation	NA	NA
OG0001221	NA	No Annotation	NA	No Annotation	NA	NA
OG0001222	NA	No Annotation	NA	No Annotation	NA	NA
OG0001223	COG2008	Threonine aldolase	K01620	threonine aldolase [EC:4.1.2.48]	PF01212.24	Beta_elim_lyase
OG0001224	COG0730	Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family	K07090	uncharacterized protein	PF01925.22,PF11877.11	TauE,DUF3397
OG0001225	NA	No Annotation	NA	No Annotation	NA	NA
OG0001226	COG2957	Agmatine/peptidylarginine deiminase	K10536	agmatine deiminase [EC:3.5.3.12]	PF04371.18	PAD_porph
OG0001227	COG3419	Type IV pilus tip-associated adhesin PilY1	K02674	type IV pilus assembly protein PilY1	PF05567.14,PF00092.31,PF01011.24,PF01436.24,PF17170.7	Neisseria_PilC,VWA,PQQ,NHL,DUF5128
OG0001228	COG2084	3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase	K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	PF03446.18,PF14833.9	NAD_binding_2,NAD_binding_11
OG0001229	COG0473	Isocitrate/isopropylmalate dehydrogenase	K07246	tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase [EC:1.1.1.93 4.1.1.73 1.1.1.83]	PF00180.23	Iso_dh
OG0001230	NA	No Annotation	NA	No Annotation	PF14099.9	Polysacc_lyase
OG0001231	NA	No Annotation	NA	No Annotation	NA	NA
OG0001232	COG0006	Xaa-Pro aminopeptidase	K08688	creatinase [EC:3.5.3.3]	PF00557.27,PF01321.21	Peptidase_M24,Creatinase_N
OG0001233	NA	No Annotation	NA	No Annotation	PF11924.11	IAT_beta
OG0001234	NA	No Annotation	K13693	glucosyl-3-phosphoglycerate synthase [EC:2.4.1.266]	NA	NA
OG0001235	NA	No Annotation	NA	No Annotation	PF19451.2	DUF5989
OG0001236	COG3769	Mannosyl-3-phosphoglycerate phosphatase YedP/MpgP, HAD superfamily	K07026	mannosyl-3-phosphoglycerate phosphatase [EC:3.1.3.70]	PF08282.15	Hydrolase_3
OG0001237	COG3803	Uncharacterized conserved protein, DUF924 family	NA	No Annotation	PF06041.14	DUF924
OG0001238	COG1216	Glycosyltransferase, GT2 family	NA	No Annotation	PF00535.29,PF00534.23	Glycos_transf_2,Glycos_transf_1
OG0001239	COG2259	Uncharacterized membrane protein YphA, DoxX/SURF4 family	K15977	putative oxidoreductase	PF07681.15,PF02077.18	DoxX,SURF4
OG0001240	NA	No Annotation	K05303	O-methyltransferase [EC:2.1.1.-]	PF05711.14,PF13578.9	TylF,Methyltransf_24
OG0001241	COG3383	Mo-containing formate dehydrogenase ForCE, catalytic subunit	K00123	formate dehydrogenase major subunit [EC:1.17.1.9]	PF01568.24,PF00384.25,PF04879.19,PF13187.9,PF10588.12,PF00037.30	Molydop_binding,Molybdopterin,Molybdop_Fe4S4,Fer4_9,NADH-G_4Fe-4S_3,Fer4
OG0001242	NA	No Annotation	NA	No Annotation	NA	NA
OG0001243	COG4454	Uncharacterized copper-binding protein, cupredoxin-like subfamily	NA	No Annotation	PF13473.9	Cupredoxin_1
OG0001244	COG0673	Predicted dehydrogenase	NA	No Annotation	PF01408.25,PF02894.20	GFO_IDH_MocA,GFO_IDH_MocA_C
OG0001245	NA	No Annotation	NA	No Annotation	NA	NA
OG0001246	COG4235	Cytochrome c-type biogenesis protein CcmH/NrfG	NA	No Annotation	PF04575.16,PF11059.11	SlipAM,DUF2860
OG0001247	COG3408	Glycogen debranching enzyme (alpha-1,6-glucosidase)	NA	No Annotation	PF01204.21,PF03200.19	Trehalase,Glyco_hydro_63
OG0001248	NA	No Annotation	NA	No Annotation	NA	NA
OG0001249	COG3386	Sugar lactone lactonase YvrE	NA	No Annotation	PF08450.15	SGL
OG0001250	COG4665	TRAP-type mannitol/chloroaromatic compound transport system, small permease component	NA	No Annotation	PF04290.15	DctQ
OG0001251	COG0247	Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF	K11473	glycolate dehydrogenase iron-sulfur subunit [EC:1.1.99.14]	PF02754.19,PF12838.10,PF13534.9	CCG,Fer4_7,Fer4_17
OG0001252	COG0747	ABC-type transport system, periplasmic component	K02035	peptide/nickel transport system substrate-binding protein	PF00496.25	SBP_bac_5
OG0001253	COG1526	Formate dehydrogenase assembly factor FdhD, a sulfurtransferase	K02379	FdhD protein	PF02634.18	FdhD-NarQ
OG0001254	COG0746	Molybdopterin-guanine dinucleotide biosynthesis protein A	K03752	molybdenum cofactor guanylyltransferase [EC:2.7.7.77]	PF12804.10	NTP_transf_3
OG0001255	COG3246	Uncharacterized conserved protein, DUF849 family	K18013	3-keto-5-aminohexanoate cleavage enzyme [EC:2.3.1.247]	PF05853.15	BKACE
OG0001256	COG1173	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	K02034	peptide/nickel transport system permease protein	PF00528.25,PF12911.10	BPD_transp_1,OppC_N
OG0001257	COG0277	FAD/FMN-containing lactate dehydrogenase/glycolate oxidase	K11472	glycolate dehydrogenase FAD-binding subunit [EC:1.1.99.14]	PF01565.26,PF02913.22	FAD_binding_4,FAD-oxidase_C
OG0001258	COG3167	Type II secretion system/type IV pilus alignment protein PilO	NA	No Annotation	PF04350.16	PilO
